st,016036,16  ,WOOMERA (PERNATTY STATION)              ,01/1928,       ,-31.4831, 137.4805,GPS            ,SA , 100.0,      ,     ,1928,2009, 97, 99,  0,  0,  1,  0,#
st,016037,16  ,PIMBA                                   ,01/1915,02/1990,-31.2517, 136.7983,               ,SA , 190.0,      ,     ,1915,1987, 91, 99,  0,  0,  1,  0,#
st,016038,16  ,PORT AUGUSTA WEST                       ,01/1884,09/2010,-32.4827, 137.7576,GPS            ,SA ,   9.1,      ,     ,1884,2010, 96, 98,  *,  0,  1,  0,#
st,016039,16  ,WOOMERA (PURPLE DOWNS)                  ,01/1903,05/2008,-30.7888, 136.8948,GPS            ,SA ,  85.0,      ,     ,1903,2008, 99, 99,  0,  0,  *,  0,#
st,016040,16  ,ROXBY DOWNS STATION                     ,01/1931,       ,-30.7037, 136.7533,GPS            ,SA , 110.0,      ,     ,1931,2011, 88, 99,  1,  0,  *,  0,#
st,016041,16  ,BON BON                                 ,03/2009,       ,-30.4230, 135.4788,GPS            ,SA , 160.0,      ,     ,2009,2011, 99, 66, 34,  0,  *,  0,#
st,016042,16  ,KANYPI                                  ,12/2003,05/2007,-26.1673, 130.1192,GPS            ,SA , 670.0,      ,     ,2003,2007, 73, 99,  0,  0,  1,  0,#
st,016043,16  ,WOOMERA (SOUTH GAP STATION)             ,01/1882,       ,-31.6338, 137.6218,GPS            ,SA ,  43.0,      ,     ,1882,2011, 98, 99,  1,  0,  *,  0,#
st,016044,16  ,TARCOOLA                                ,01/1903,08/1999,-30.7111, 134.5694,GPS            ,SA , 119.5, 120.4,     ,1904,1999, 94, 99,  *,  0,  *,  0,#
st,016045,16  ,MOUNT CHRISTIE (TAR 397 MILE)           ,01/1916,12/1983,-30.5492, 133.2167,               ,SA , 209.0,      ,     ,1916,1983, 72, 99,  0,  0,  1,  0,#
st,016046,16  ,THURLGA                                 ,09/1898,       ,-32.4395, 135.7730,GPS            ,SA , 300.0,      ,     ,1898,2010, 83, 99,  *,  0,  1,  0,#
st,016047,16  ,TODMORDEN                               ,01/1949,       ,-27.1391, 134.7575,GPS            ,SA , 200.0,      ,     ,1949,2011, 98, 99,  1,  0,  *,  0,#
st,016048,16  ,THE TWINS STATION                       ,01/1930,       ,-29.9964, 135.3911,GPS            ,SA , 185.0,      ,     ,1930,2010, 98, 99,  *,  0,  *,  0,#
st,016049,16  ,OAK VALLEY                              ,04/2004,       ,-29.3987, 130.7483,GPS            ,SA , 220.0,      ,     ,2004,2005,100,100,  0,  0,  0,  0,#
st,016050,16  ,WIRRAMINNA RAILWAY STATION              ,01/1915,12/1979,-31.1667, 136.1250,               ,SA , 151.0,      ,     ,1915,1979, 89, 99,  0,  0,  1,  0,#
st,016051,16  ,WIRRAPPA                                ,01/1915,12/1978,-31.4225, 137.9900,               ,SA ,  79.0,      ,     ,1915,1978, 97, 99,  0,  0,  1,  0,#
st,016052,16  ,WOOCALLA                                ,01/1915,12/1968,-31.6883, 137.1750,               ,SA ,  74.0,      ,     ,1915,1968, 96, 99,  0,  0,  1,  0,#
st,016053,16  ,YUDNAPINNA (NUMBER ONE TANK)            ,01/1908,12/1927,-32.1467, 137.3411,               ,SA , 108.0,      ,     ,1908,1927, 98, 98,  0,  0,  2,  0,#
st,016054,16  ,WYNBRING SIDING (TAR 377 MILE)          ,01/1916,12/1983,-30.5567, 133.5342,               ,SA , 152.1,      ,     ,1916,1983, 95, 99,  0,  0,  1,  0,#
st,016055,16  ,YARDEA                                  ,01/1877,       ,-32.3792, 135.5247,GPS            ,SA , 260.0,      ,     ,1877,2011, 94, 98,  1,  0,  1,  0,#
st,016056,16  ,YUDNAPINNA                              ,08/1884,       ,-32.1232, 137.1505,GPS            ,SA , 128.0,      ,     ,1884,2010, 97, 99,  *,  0,  *,  0,#
st,016057,16  ,YELTACOWIE                              ,01/1924,12/1975,-31.3400, 137.3592,               ,SA ,      ,      ,     ,1924,1975, 96, 99,  0,  0,  1,  0,#
st,016058,16  ,COMET                                   ,01/1954,12/1965,-29.7850, 134.1883,               ,SA , 172.0,      ,     ,1954,1965, 73, 99,  0,  0,  1,  0,#
st,016059,16  ,TARCOOLA (MOBELLA)                      ,01/1953,       ,-29.8113, 133.3603,GPS            ,SA , 179.0,      ,     ,1953,2011, 92, 98,  1,  0,  *,  0,#
st,016060,16  ,JUMBUCK                                 ,01/1953,12/1965,-29.8933, 133.6667,               ,SA , 190.0,      ,     ,1953,1965, 81, 99,  0,  0,  1,  0,#
st,016061,16  ,WHITTATA                                ,01/1882,12/1929,-31.7350, 137.4200,               ,SA ,  75.0,      ,     ,1883,1929, 96, 99,  0,  0,  1,  0,#
st,016062,16  ,WIRRAMINNA HOMESTEAD                    ,01/1900,       ,-31.1989, 136.2284,GPS            ,SA , 120.0,      ,     ,1900,2011, 22, 96,  3,  0,  1,  0,#
st,016063,16  ,TARCOOLA (WILGENA DAMS)                 ,01/1887,12/1978,-30.7283, 134.6842,               ,SA , 144.8,      ,     ,1887,1978, 48, 99,  0,  0,  1,  0,#
